	-0.11	9.80	-6.81	-5.44	-5.00	3449.50
-0.10	0.36	9.78	0.37	-0.12	0.00	3457.30
-0.15	0.27	9.79	0.12	-0.06	0.06	3457.31
-0.15	0.27	9.79	0.12	-0.06	0.06	3457.32
-0.15	0.26	9.71	-0.06	0.00	-0.06	3457.32
-0.15	0.26	9.71	-0.06	0.00	-0.06	3457.33
-0.13	0.34	9.73	0.12	0.06	0.06	3457.33
-0.13	0.34	9.73	-0.06	0.00	0.12	3457.34
-0.15	0.30	9.78	-0.06	0.00	0.12	3457.34
-0.15	0.30	9.78	-0.12	0.00	0.06	3457.35
-0.14	0.27	9.80	-0.12	0.00	0.06	3457.35
-0.15	0.29	9.78	0.00	-0.19	-0.06	3457.36
-0.15	0.29	9.78	0.00	-0.19	-0.06	3457.37
-0.13	0.28	9.71	0.00	0.00	-0.06	3457.37
-0.13	0.28	9.71	0.12	0.19	-0.06	3457.38
-0.14	0.32	9.74	0.12	0.19	-0.06	3457.38
-0.13	0.29	9.77	0.00	0.06	0.06	3457.39
-0.13	0.29	9.77	0.00	0.06	0.06	3457.39
-0.15	0.31	9.81	0.00	-0.12	-0.06	3457.40
-0.15	0.31	9.81	0.00	-0.12	-0.06	3457.41
-0.11	0.27	9.81	-0.06	-0.19	0.00	3457.41
-0.11	0.27	9.81	-0.06	-0.19	0.00	3457.42
-0.13	0.29	9.70	-0.06	0.25	0.00	3457.42
-0.13	0.29	9.70	0.06	0.12	0.12	3457.43
-0.13	0.29	9.74	0.06	0.12	0.12	3457.44
-0.13	0.29	9.75	0.00	0.00	0.00	3457.44
-0.13	0.29	9.75	0.00	0.00	0.00	3457.45
-0.14	0.28	9.78	-0.12	-0.12	0.00	3457.45
-0.14	0.28	9.78	-0.12	-0.12	0.00	3457.46
-0.14	0.29	9.75	-0.06	-0.12	0.00	3457.46
-0.14	0.29	9.75	0.00	0.00	0.00	3457.47
-0.15	0.25	9.70	0.00	0.00	0.00	3457.48
-0.14	0.28	9.72	0.00	0.19	0.00	3457.48
-0.14	0.28	9.72	0.00	0.19	0.00	3457.49
-0.14	0.28	9.75	0.06	0.00	-0.12	3457.49
-0.14	0.28	9.75	0.06	0.00	-0.12	3457.50
-0.14	0.28	9.82	0.06	0.06	0.06	3457.50
-0.14	0.28	9.82	0.00	0.12	0.00	3457.51
-0.12	0.27	9.77	0.00	0.12	0.00	3457.52
-0.14	0.28	9.69	-0.06	-0.06	0.06	3457.52
-0.14	0.28	9.69	-0.06	-0.06	0.06	3457.53
-0.12	0.29	9.71	0.00	-0.12	0.00	3457.53
-0.12	0.29	9.71	-0.06	-0.25	0.00	3457.54
-0.12	0.28	9.79	-0.06	-0.25	0.00	3457.54
-0.12	0.28	9.79	0.00	0.00	0.06	3457.55
-0.16	0.30	9.80	0.00	0.00	0.06	3457.56
-0.15	0.29	9.80	0.00	0.25	0.00	3457.56
-0.15	0.29	9.80	0.00	0.25	0.00	3457.57
-0.15	0.28	9.72	0.19	0.12	-0.12	3457.57
-0.15	0.28	9.72	0.19	0.12	-0.12	3457.58
-0.10	0.29	9.77	0.06	0.06	0.06	3457.58
-0.10	0.29	9.77	0.06	-0.06	0.00	3457.59
-0.15	0.28	9.79	0.06	-0.06	0.00	3457.59
-0.15	0.28	9.79	0.06	-0.19	0.00	3457.60
-0.15	0.30	9.79	0.06	-0.19	0.00	3457.61
-0.13	0.29	9.80	0.00	-0.06	0.00	3457.61
-0.13	0.29	9.80	0.00	-0.06	0.00	3457.62
-0.14	0.28	9.71	-0.06	-0.06	-0.06	3457.62
-0.14	0.28	9.71	-0.06	-0.06	0.12	3457.63
-0.17	0.27	9.73	-0.06	-0.06	0.12	3457.64
-0.16	0.27	9.77	-0.06	-0.06	-0.06	3457.64
-0.16	0.27	9.77	-0.06	-0.06	-0.06	3457.65
-0.14	0.28	9.79	0.12	0.00	0.12	3457.65
-0.14	0.28	9.79	0.12	0.00	0.12	3457.66
-0.14	0.31	9.76	0.06	0.00	0.06	3457.66
-0.14	0.31	9.76	0.06	0.00	0.06	3457.67
-0.12	0.29	9.68	0.00	0.00	-0.12	3457.67
-0.12	0.29	9.68	-0.06	0.06	0.06	3457.68
-0.12	0.30	9.72	-0.06	0.06	0.06	3457.69
-0.14	0.28	9.74	-0.12	-0.19	0.06	3457.69
-0.14	0.28	9.74	-0.12	-0.19	0.06	3457.70
-0.13	0.30	9.80	0.00	-0.25	0.00	3457.70
-0.13	0.30	9.80	0.00	-0.25	0.00	3457.71
-0.14	0.27	9.76	0.00	-0.06	-0.06	3457.71
-0.14	0.27	9.76	-0.06	-0.12	-0.06	3457.72
-0.15	0.28	9.70	-0.06	-0.12	-0.06	3457.73
-0.15	0.27	9.75	0.00	0.06	-0.06	3457.73
-0.15	0.27	9.75	0.00	0.06	-0.06	3457.74
-0.12	0.29	9.77	0.00	-0.12	-0.12	3457.74
-0.12	0.29	9.77	0.00	-0.12	-0.12	3457.75
-0.14	0.27	9.80	0.12	0.06	-0.06	3457.76
-0.16	0.29	9.81	-0.06	-0.06	0.06	3457.76
-0.16	0.29	9.81	-0.06	-0.06	0.06	3457.77
-0.14	0.31	9.69	0.06	-0.06	-0.06	3457.77
-0.14	0.31	9.69	0.06	-0.06	-0.06	3457.78
-0.13	0.31	9.72	0.06	-0.06	0.06	3457.78
-0.13	0.31	9.72	0.00	0.00	0.12	3457.79
-0.16	0.28	9.75	0.00	0.00	0.12	3457.80
-0.16	0.28	9.75	0.12	-0.12	0.06	3457.80
-0.13	0.29	9.80	0.12	-0.12	0.06	3457.81
-0.17	0.28	9.73	0.00	0.00	-0.12	3457.81
-0.17	0.28	9.73	0.00	0.00	-0.12	3457.82
-0.13	0.28	9.67	-0.12	0.00	0.00	3457.82
-0.13	0.28	9.67	-0.12	0.00	0.00	3457.83
-0.13	0.31	9.71	0.00	-0.06	-0.12	3457.84
-0.13	0.31	9.71	0.00	0.00	0.12	3457.84
-0.14	0.27	9.76	0.00	0.00	0.12	3457.85
-0.14	0.27	9.76	0.06	-0.12	0.00	3457.85
-0.15	0.28	9.80	0.06	-0.12	0.00	3457.86
-0.15	0.28	9.81	0.00	0.00	-0.19	3457.86
-0.15	0.28	9.81	0.00	0.00	-0.19	3457.87
-0.18	0.28	9.69	0.06	0.00	0.00	3457.87
-0.18	0.28	9.69	0.12	-0.19	-0.06	3457.88
-0.13	0.30	9.75	0.12	-0.19	-0.06	3457.89
-0.15	0.30	9.79	-0.06	-0.25	0.06	3457.89
-0.15	0.30	9.79	-0.06	-0.25	0.06	3457.90
-0.14	0.29	9.79	0.12	0.06	0.06	3457.90
-0.14	0.29	9.79	0.12	0.06	0.06	3457.91
-0.11	0.31	9.78	0.06	0.12	0.12	3457.91
-0.11	0.31	9.78	0.12	0.06	-0.06	3457.92
-0.13	0.29	9.71	0.12	0.06	-0.06	3457.93
-0.12	0.31	9.75	0.12	0.06	-0.06	3457.93
-0.12	0.31	9.75	0.12	0.06	-0.06	3457.94
-0.13	0.28	9.78	0.00	0.06	0.00	3457.94
-0.13	0.28	9.78	0.00	0.06	0.00	3457.95
-0.14	0.28	9.80	-0.06	0.19	0.00	3457.95
-0.14	0.28	9.80	-0.06	0.19	0.00	3457.96
-0.15	0.29	9.84	-0.12	-0.12	-0.12	3457.97
-0.15	0.29	9.84	0.00	0.00	-0.06	3457.97
-0.18	0.28	9.70	0.00	0.00	-0.06	3457.98
-0.15	0.32	9.77	0.00	0.00	-0.12	3457.98
-0.15	0.32	9.77	0.00	0.00	-0.12	3457.99
-0.16	0.29	9.77	0.12	0.12	0.00	3458.00
-0.16	0.29	9.77	0.12	0.12	0.00	3458.00
-0.14	0.27	9.78	0.00	0.12	0.06	3458.01
-0.14	0.27	9.78	0.00	0.12	0.06	3458.01
-0.17	0.28	9.78	0.00	0.12	0.06	3458.02
-0.16	0.29	9.70	0.19	-0.06	0.00	3458.02
-0.16	0.29	9.70	0.19	-0.06	0.00	3458.03
-0.14	0.28	9.72	0.19	0.06	-0.06	3458.03
-0.14	0.28	9.72	0.00	0.06	-0.12	3458.04
-0.14	0.29	9.76	0.00	0.06	-0.12	3458.05
-0.14	0.29	9.76	-0.06	0.06	0.00	3458.05
-0.15	0.29	9.81	-0.06	0.06	0.00	3458.06
-0.14	0.29	9.83	-0.12	-0.06	0.00	3458.06
-0.14	0.29	9.83	-0.12	-0.06	0.00	3458.07
-0.15	0.27	9.71	-0.06	0.12	0.00	3458.08
-0.15	0.27	9.71	0.06	0.25	-0.06	3458.08
-0.13	0.28	9.70	0.06	0.25	-0.06	3458.09
-0.14	0.30	9.78	0.06	0.00	-0.06	3458.09
-0.14	0.30	9.78	0.06	0.00	-0.06	3458.10
-0.14	0.30	9.78	-0.06	0.00	0.00	3458.10
-0.16	0.28	9.78	-0.06	0.00	0.00	3458.11
-0.14	0.27	9.80	-0.06	0.12	0.12	3458.11
-0.14	0.27	9.80	-0.06	0.12	0.12	3458.12
-0.16	0.28	9.73	0.00	-0.12	0.00	3458.13
-0.16	0.28	9.73	-0.06	-0.06	0.12	3458.13
-0.14	0.29	9.76	-0.06	-0.06	0.12	3458.14
-0.11	0.30	9.76	0.00	-0.06	-0.06	3458.14
-0.11	0.30	9.76	0.00	-0.06	-0.06	3458.15
-0.16	0.30	9.79	0.06	0.00	-0.06	3458.15
-0.16	0.30	9.79	0.06	0.00	-0.06	3458.16
-0.13	0.28	9.80	0.00	-0.06	0.12	3458.16
-0.13	0.28	9.80	0.00	-0.06	0.12	3458.17
-0.15	0.28	9.71	0.06	0.00	-0.12	3458.18
-0.15	0.28	9.71	0.12	0.06	0.00	3458.18
-0.12	0.28	9.71	0.12	0.06	0.00	3458.19
-0.15	0.30	9.78	0.06	0.06	-0.06	3458.19
-0.15	0.30	9.78	0.06	0.06	-0.06	3458.20
-0.13	0.30	9.77	0.00	-0.25	0.00	3458.20
-0.13	0.30	9.77	0.00	-0.25	0.00	3458.21
-0.13	0.28	9.75	0.00	-0.19	0.00	3458.22
-0.13	0.28	9.75	0.00	-0.19	0.00	3458.22
-0.14	0.28	9.71	0.06	-0.06	0.00	3458.23
-0.14	0.28	9.71	0.00	0.06	-0.12	3458.23
-0.15	0.28	9.72	0.00	0.06	-0.12	3458.24
-0.12	0.30	9.78	0.12	0.12	-0.12	3458.25
-0.12	0.30	9.78	0.12	0.12	-0.12	3458.25
-0.14	0.31	9.80	0.06	0.00	-0.06	3458.25
-0.14	0.31	9.80	0.06	0.00	-0.06	3458.26
-0.12	0.28	9.75	-0.06	-0.06	0.12	3458.27
-0.12	0.28	9.75	0.06	0.00	-0.06	3458.27
-0.14	0.29	9.71	0.06	0.00	-0.06	3458.28
-0.15	0.30	9.76	-0.12	0.00	0.12	3458.28
-0.15	0.30	9.76	-0.12	0.00	0.12	3458.29
-0.14	0.31	9.80	-0.06	-0.19	0.06	3458.30
-0.14	0.31	9.80	-0.06	-0.19	0.06	3458.30
-0.13	0.27	9.78	-0.12	-0.25	0.06	3458.31
-0.13	0.27	9.78	0.06	0.00	-0.19	3458.31
-0.14	0.29	9.81	0.06	0.00	-0.19	3458.32
-0.15	0.29	9.66	0.00	0.06	0.25	3458.32
-0.15	0.29	9.66	0.00	0.06	0.25	3458.33
-0.13	0.29	9.75	0.06	0.00	-0.06	3458.34
-0.13	0.29	9.75	0.06	0.00	0.12	3458.34
-0.13	0.30	9.76	0.06	0.00	0.12	3458.35
-0.13	0.30	9.76	-0.06	0.00	-0.06	3458.35
-0.15	0.28	9.81	-0.06	0.00	-0.06	3458.36
-0.13	0.30	9.76	-0.06	-0.12	0.06	3458.36
-0.13	0.30	9.76	-0.06	-0.12	0.06	3458.37
-0.14	0.29	9.70	0.06	-0.06	-0.06	3458.38
-0.14	0.29	9.70	0.00	-0.12	-0.06	3458.38
-0.14	0.27	9.74	0.00	-0.12	-0.06	3458.39
-0.15	0.30	9.77	0.00	-0.06	-0.06	3458.39
-0.15	0.30	9.77	0.00	-0.06	-0.06	3458.40
-0.15	0.30	9.77	-0.06	-0.12	0.06	3458.40
-0.16	0.27	9.82	-0.06	-0.12	0.06	3458.41
-0.15	0.31	9.74	0.00	-0.06	-0.06	3458.42
-0.15	0.31	9.74	0.00	-0.06	-0.06	3458.42
-0.13	0.27	9.70	-0.06	-0.25	0.00	3458.43
-0.13	0.27	9.70	-0.12	-0.25	0.06	3458.43
-0.14	0.28	9.73	-0.12	-0.25	0.06	3458.44
-0.16	0.30	9.79	0.00	-0.19	0.00	3458.45
-0.16	0.30	9.79	0.00	-0.19	0.00	3458.45
-0.15	0.28	9.81	-0.19	-0.12	0.00	3458.46
-0.15	0.28	9.81	-0.19	-0.12	0.00	3458.46
-0.14	0.27	9.79	0.06	0.00	0.06	3458.47
-0.14	0.27	9.79	0.00	0.06	0.00	3458.47
-0.14	0.31	9.69	0.00	0.06	0.00	3458.48
-0.15	0.31	9.73	0.06	0.06	0.00	3458.48
-0.15	0.31	9.73	0.06	0.06	0.00	3458.49
-0.12	0.27	9.77	0.00	-0.19	0.00	3458.50
-0.12	0.27	9.77	0.00	-0.19	0.00	3458.50
-0.13	0.29	9.79	-0.06	0.06	0.00	3458.51
-0.13	0.29	9.79	-0.06	0.06	0.00	3458.51
-0.15	0.27	9.78	-0.12	-0.06	0.12	3458.52
-0.15	0.27	9.78	-0.12	-0.06	-0.06	3458.52
-0.14	0.30	9.70	-0.12	-0.06	-0.06	3458.53
-0.14	0.28	9.75	-0.12	-0.06	-0.06	3458.54
-0.14	0.28	9.75	-0.12	-0.06	-0.06	3458.54
-0.14	0.29	9.75	-0.06	-0.06	0.06	3458.55
-0.14	0.29	9.75	-0.06	-0.06	0.06	3458.55
-0.14	0.29	9.79	0.00	0.06	0.06	3458.56
-0.14	0.29	9.79	-0.06	0.12	0.12	3458.57
-0.16	0.27	9.76	-0.06	0.12	0.12	3458.57
-0.15	0.28	9.68	0.06	0.00	0.12	3458.58
-0.15	0.28	9.68	0.06	0.00	0.12	3458.58
-0.16	0.30	9.73	0.06	0.00	-0.12	3458.59
-0.16	0.30	9.73	0.06	0.06	0.06	3458.59
-0.16	0.29	9.76	0.06	0.06	0.06	3458.60
-0.16	0.29	9.76	0.06	0.25	-0.06	3458.61
-0.15	0.29	9.81	0.06	0.25	-0.06	3458.61
-0.14	0.30	9.78	0.06	0.25	-0.06	3458.62
-0.14	0.30	9.78	0.06	0.25	-0.06	3458.62
-0.12	0.30	9.69	-0.06	0.00	0.00	3458.63
-0.12	0.30	9.69	-0.06	0.00	0.00	3458.63
-0.14	0.28	9.69	0.06	0.06	0.06	3458.64
-0.14	0.28	9.69	0.06	0.06	-0.06	3458.65
-0.14	0.29	9.74	0.06	0.06	-0.06	3458.65
-0.14	0.29	9.74	0.12	0.06	0.06	3458.66
-0.13	0.28	9.77	0.12	0.06	0.06	3458.66
-0.14	0.30	9.83	-0.06	0.19	0.00	3458.67
-0.14	0.30	9.83	-0.06	0.19	0.00	3458.67
-0.14	0.30	9.70	0.06	0.12	-0.06	3458.68
-0.14	0.30	9.70	0.25	0.06	0.00	3458.68
-0.16	0.28	9.74	0.25	0.06	0.00	3458.69
-0.14	0.29	9.77	-0.06	-0.12	-0.19	3458.70
-0.14	0.29	9.77	-0.06	-0.12	-0.19	3458.70
-0.16	0.29	9.78	-0.12	-0.06	0.06	3458.71
-0.16	0.29	9.78	-0.12	-0.06	0.06	3458.71
-0.13	0.29	9.74	-0.06	-0.12	0.06	3458.72
-0.13	0.29	9.74	0.06	0.19	-0.06	3458.72
-0.16	0.29	9.71	0.06	0.19	-0.06	3458.73
-0.13	0.28	9.75	0.00	0.12	-0.06	3458.74
-0.13	0.28	9.75	0.00	0.12	-0.06	3458.74
-0.14	0.31	9.78	0.00	-0.06	-0.12	3458.75
-0.14	0.31	9.78	0.00	-0.06	-0.12	3458.75
-0.15	0.28	9.80	0.00	-0.06	0.06	3458.76
-0.15	0.28	9.80	0.00	-0.06	0.06	3458.76
-0.14	0.27	9.77	0.19	0.25	0.00	3458.77
-0.14	0.27	9.77	-0.12	0.00	0.00	3458.78
-0.12	0.29	9.71	-0.12	0.00	0.00	3458.78
-0.14	0.31	9.72	0.00	0.00	0.06	3458.79
-0.14	0.31	9.72	0.00	0.00	0.06	3458.79
-0.12	0.31	9.78	0.00	0.06	0.00	3458.80
-0.12	0.31	9.78	0.00	0.06	0.00	3458.80
-0.14	0.30	9.81	0.00	-0.06	-0.06	3458.81
-0.14	0.30	9.81	-0.06	0.00	0.06	3458.82
-0.15	0.28	9.81	-0.06	0.00	0.06	3458.82
-0.13	0.28	9.70	0.06	0.00	-0.06	3458.83
-0.13	0.28	9.70	0.06	0.00	-0.06	3458.83
-0.13	0.29	9.72	0.06	0.12	0.19	3458.84
-0.13	0.29	9.72	-0.06	0.00	0.00	3458.85
-0.15	0.30	9.81	-0.06	0.00	0.00	3458.85
-0.15	0.30	9.81	0.06	-0.06	0.12	3458.86
-0.13	0.28	9.80	0.06	-0.06	0.12	3458.86
-0.17	0.27	9.79	-0.19	-0.06	0.06	3458.87
-0.17	0.27	9.79	-0.19	-0.06	0.06	3458.87
-0.14	0.28	9.71	0.12	0.12	0.00	3458.88
-0.14	0.28	9.71	0.00	-0.12	0.06	3458.89
-0.16	0.30	9.73	0.00	-0.12	0.06	3458.89
-0.13	0.28	9.76	0.06	0.25	-0.06	3458.90
-0.13	0.28	9.76	0.06	0.25	-0.06	3458.90
-0.13	0.28	9.76	0.00	0.06	-0.06	3458.91
-0.15	0.28	9.78	0.00	0.06	-0.06	3458.91
-0.12	0.29	9.74	-0.06	0.00	0.00	3458.92
-0.12	0.29	9.74	-0.06	0.00	0.00	3458.92
-0.16	0.30	9.70	0.12	0.00	-0.06	3458.93
-0.16	0.30	9.70	0.00	0.06	-0.06	3458.94
-0.13	0.28	9.74	0.00	0.06	-0.06	3458.94
-0.15	0.28	9.78	-0.06	0.06	0.06	3458.95
-0.15	0.28	9.78	-0.06	0.06	0.06	3458.95
-0.16	0.29	9.80	0.06	-0.06	0.00	3458.96
-0.16	0.29	9.80	0.06	-0.06	0.00	3458.96
-0.13	0.28	9.82	-0.06	-0.12	-0.12	3458.97
-0.13	0.28	9.82	-0.06	-0.12	-0.12	3458.98
-0.12	0.28	9.71	0.00	0.00	0.06	3458.98
-0.12	0.28	9.71	0.00	-0.12	0.00	3458.99
-0.16	0.28	9.71	0.00	-0.12	0.00	3458.99
-0.13	0.29	9.77	0.19	0.12	-0.06	3459.00
-0.13	0.29	9.77	0.19	0.12	-0.06	3459.00
-0.13	0.31	9.80	0.06	0.12	-0.12	3459.01
-0.13	0.31	9.80	0.06	0.12	-0.12	3459.01
-0.13	0.29	9.81	0.00	0.06	0.12	3459.02
-0.13	0.29	9.81	0.00	0.06	0.12	3459.03
-0.16	0.28	9.71	-0.19	0.06	0.00	3459.03
-0.16	0.28	9.71	0.00	0.06	0.00	3459.04
-0.13	0.29	9.77	0.00	0.06	0.00	3459.04
-0.12	0.28	9.78	-0.06	0.06	0.06	3459.05
-0.12	0.28	9.78	-0.06	0.06	0.06	3459.05
-0.14	0.28	9.79	0.00	0.12	0.12	3459.06
-0.14	0.28	9.79	0.00	0.12	0.12	3459.06
-0.14	0.29	9.78	0.00	0.06	0.06	3459.07
-0.14	0.29	9.78	0.00	0.06	0.06	3459.08
-0.16	0.29	9.70	-0.06	-0.06	-0.06	3459.08
-0.14	0.30	9.74	-0.06	0.00	0.06	3459.09
-0.14	0.30	9.74	-0.06	0.00	0.06	3459.09
-0.14	0.28	9.77	0.12	-0.06	-0.12	3459.10
-0.14	0.28	9.77	0.12	-0.06	-0.12	3459.10
-0.14	0.28	9.78	0.06	0.00	0.00	3459.11
-0.14	0.28	9.78	0.06	0.00	0.00	3459.12
-0.15	0.28	9.77	-0.06	0.00	0.00	3459.12
-0.15	0.28	9.77	0.12	0.12	-0.06	3459.13
-0.15	0.28	9.68	0.12	0.12	-0.06	3459.13
-0.14	0.30	9.72	0.12	0.00	0.06	3459.14
-0.14	0.30	9.72	0.12	0.00	0.06	3459.15
-0.16	0.28	9.76	0.00	-0.06	-0.06	3459.15
-0.16	0.28	9.76	0.00	-0.06	-0.06	3459.16
-0.14	0.30	9.82	-0.06	-0.19	0.00	3459.16
-0.14	0.30	9.82	-0.06	0.06	0.00	3459.17
-0.13	0.29	9.75	-0.06	0.06	0.00	3459.17
-0.13	0.28	9.71	0.06	0.12	-0.06	3459.18
-0.13	0.28	9.71	0.06	0.12	-0.06	3459.19
-0.14	0.30	9.74	0.00	-0.06	0.06	3459.19
-0.14	0.30	9.74	0.00	-0.06	-0.12	3459.20
-0.15	0.29	9.77	0.00	-0.06	-0.12	3459.20
-0.15	0.29	9.77	0.00	0.00	0.06	3459.21
-0.14	0.29	9.78	0.00	0.00	0.06	3459.21
-0.11	0.28	9.81	0.06	0.06	0.00	3459.22
-0.11	0.28	9.81	0.06	0.06	0.00	3459.23
-0.14	0.27	9.71	-0.06	0.00	0.00	3459.23
-0.14	0.27	9.71	-0.06	0.00	0.00	3459.24
-0.12	0.31	9.73	0.06	0.00	0.12	3459.24
-0.12	0.31	9.73	0.00	-0.06	0.06	3459.25
-0.17	0.29	9.81	0.00	-0.06	0.06	3459.25
-0.17	0.29	9.81	0.06	-0.06	-0.25	3459.26
-0.12	0.28	9.80	0.06	-0.06	-0.25	3459.27
-0.16	0.26	9.75	0.06	0.06	0.00	3459.27
-0.16	0.26	9.75	0.06	0.06	0.00	3459.28
-0.14	0.30	9.70	0.06	0.12	0.00	3459.28
-0.14	0.30	9.70	0.00	-0.06	0.00	3459.29
-0.15	0.29	9.73	0.00	-0.06	0.00	3459.30
-0.15	0.28	9.78	0.12	-0.06	0.00	3459.30
-0.15	0.28	9.78	0.12	-0.06	0.00	3459.30
-0.14	0.27	9.79	0.06	-0.06	-0.06	3459.31
-0.14	0.27	9.79	0.06	-0.06	-0.06	3459.32
-0.15	0.28	9.79	0.12	0.06	-0.12	3459.32
-0.15	0.28	9.79	0.12	0.06	-0.12	3459.33
-0.15	0.29	9.70	0.00	-0.06	-0.12	3459.33
-0.15	0.29	9.70	-0.06	0.06	-0.06	3459.34
-0.14	0.28	9.76	-0.06	0.06	-0.06	3459.35
-0.15	0.27	9.80	-0.19	0.00	0.12	3459.35
-0.15	0.27	9.80	-0.19	0.00	0.12	3459.36
-0.15	0.29	9.81	-0.12	-0.19	0.06	3459.36
-0.15	0.29	9.81	-0.12	-0.19	0.06	3459.37
-0.14	0.28	9.77	-0.19	0.00	0.00	3459.37
-0.14	0.28	9.77	0.06	0.06	-0.06	3459.38
-0.15	0.29	9.71	0.06	0.06	-0.06	3459.39
-0.16	0.27	9.75	0.19	0.19	-0.06	3459.39
-0.16	0.27	9.75	0.19	0.19	-0.06	3459.40
-0.16	0.28	9.80	-0.06	0.06	-0.06	3459.40
-0.16	0.28	9.80	-0.06	0.06	-0.06	3459.41
-0.14	0.29	9.78	0.06	0.12	0.06	3459.41
-0.14	0.29	9.78	0.00	-0.06	-0.06	3459.42
-0.14	0.30	9.81	0.00	-0.06	-0.06	3459.43
-0.14	0.30	9.69	0.06	0.06	-0.06	3459.43
-0.14	0.30	9.69	0.06	0.06	-0.06	3459.44
-0.16	0.29	9.74	0.00	0.06	-0.06	3459.44
-0.16	0.29	9.74	0.12	0.00	-0.06	3459.45
-0.14	0.29	9.76	0.12	0.00	-0.06	3459.45
-0.14	0.29	9.76	0.06	0.12	0.00	3459.46
-0.13	0.27	9.78	0.06	0.12	0.00	3459.47
-0.14	0.27	9.73	-0.12	-0.19	0.12	3459.47
-0.14	0.27	9.73	-0.12	-0.19	0.12	3459.48
-0.17	0.26	9.71	-0.12	0.00	0.00	3459.48
-0.17	0.26	9.71	0.06	0.00	0.06	3459.49
-0.13	0.29	9.73	0.06	0.00	0.06	3459.50
-0.12	0.31	9.73	-0.06	0.00	0.06	3459.50
-0.12	0.31	9.73	-0.06	0.00	0.06	3459.51
-0.15	0.28	9.78	0.00	0.00	-0.06	3459.51
-0.15	0.28	9.78	0.00	0.00	-0.06	3459.52
-0.17	0.30	9.83	0.00	0.19	0.00	3459.52
-0.17	0.30	9.83	0.00	0.19	0.00	3459.53
-0.13	0.29	9.70	-0.06	0.12	0.00	3459.53
-0.13	0.29	9.70	0.06	-0.06	-0.12	3459.54
-0.14	0.30	9.72	0.06	-0.06	-0.12	3459.55
-0.13	0.30	9.79	0.00	-0.19	0.00	3459.55
-0.13	0.30	9.79	0.00	-0.19	0.00	3459.56
-0.16	0.28	9.80	-0.12	-0.25	0.00	3459.56
-0.16	0.28	9.80	-0.12	-0.25	0.00	3459.57
-0.11	0.28	9.80	0.00	0.00	0.12	3459.57
-0.11	0.28	9.80	0.00	0.19	0.00	3459.58
-0.15	0.28	9.72	0.00	0.19	0.00	3459.59
-0.12	0.29	9.73	0.00	0.12	0.00	3459.59
-0.12	0.29	9.73	0.00	0.12	0.00	3459.60
-0.18	0.29	9.79	0.00	0.06	0.00	3459.60
-0.18	0.29	9.79	0.00	0.06	0.00	3459.61
-0.16	0.28	9.81	0.12	0.19	-0.06	3459.61
-0.16	0.28	9.81	-0.06	0.12	0.06	3459.62
-0.12	0.28	9.81	-0.06	0.12	0.06	3459.63
-0.15	0.28	9.69	0.19	0.00	-0.06	3459.63
-0.15	0.28	9.69	0.19	0.00	-0.06	3459.64
-0.14	0.30	9.73	0.06	0.00	-0.12	3459.64
-0.14	0.30	9.73	-0.06	0.06	0.00	3459.65
-0.14	0.28	9.78	-0.06	0.06	0.00	3459.65
-0.14	0.28	9.78	0.12	0.06	-0.06	3459.66
-0.15	0.28	9.80	0.12	0.06	-0.06	3459.67
-0.12	0.30	9.76	0.19	0.19	0.12	3459.67
-0.12	0.30	9.76	0.19	0.19	0.12	3459.68
-0.14	0.30	9.70	0.06	0.06	0.06	3459.68
-0.14	0.30	9.70	-0.06	0.19	0.00	3459.69
-0.13	0.27	9.75	-0.06	0.19	0.00	3459.70
-0.13	0.28	9.77	0.06	0.06	-0.12	3459.70
-0.13	0.28	9.77	0.06	0.06	-0.12	3459.71
-0.14	0.29	9.81	0.12	0.06	0.06	3459.71
-0.14	0.29	9.81	0.12	0.06	0.06	3459.72
-0.16	0.29	9.78	0.06	0.00	-0.06	3459.72
-0.16	0.29	9.78	0.06	0.00	-0.06	3459.73
-0.14	0.29	9.71	0.06	0.12	0.00	3459.73
-0.14	0.29	9.71	0.00	-0.19	0.00	3459.74
-0.16	0.29	9.73	0.00	-0.19	0.00	3459.75
-0.14	0.30	9.76	0.06	0.06	0.00	3459.75
-0.14	0.30	9.76	0.06	0.06	0.00	3459.76
-0.14	0.28	9.78	-0.12	-0.12	0.00	3459.76
-0.14	0.28	9.78	-0.12	-0.12	0.00	3459.77
-0.13	0.28	9.78	0.12	0.12	-0.12	3459.77
-0.13	0.28	9.78	0.12	0.12	-0.12	3459.78
-0.13	0.28	9.72	0.12	0.12	-0.12	3459.79
-0.15	0.29	9.74	0.06	0.00	0.00	3459.79
-0.15	0.29	9.74	0.06	0.00	0.00	3459.80
-0.15	0.30	9.76	-0.19	-0.12	-0.06	3459.80
-0.15	0.30	9.76	-0.19	-0.12	-0.06	3459.81
-0.13	0.28	9.77	0.00	-0.06	0.00	3459.81
-0.13	0.28	9.77	0.00	-0.06	0.00	3459.82
-0.14	0.28	9.74	0.00	-0.06	0.00	3459.83
-0.14	0.28	9.74	0.06	0.06	0.00	3459.83
-0.12	0.28	9.71	0.06	0.06	0.00	3459.84
-0.17	0.29	9.76	0.00	0.12	0.06	3459.84
-0.17	0.29	9.76	0.00	0.12	0.06	3459.85
-0.15	0.29	9.74	0.06	-0.06	0.06	3459.85
-0.15	0.29	9.74	0.06	-0.06	0.06	3459.86
-0.13	0.29	9.78	-0.06	0.12	0.06	3459.87
